yc,ys
0.965886636,1
0.606951858,1
0.75263723,1
0.452910727,1
0.616171885,1
0.491262274,1
0.396524128,1
0.570265884,1
0.146242887,1
0.105747355,1
0.900875843,1
0.443834414,1
0.348123688,1
0.488493958,1
0.674375863,1
0.488493958,1
0.620790904,1
0.853094312,1
0.556205706,1
0.463602768,1
0.694521264,1
0.474603434,1
0.333110358,1
0.498589968,1
0.532611388,1
0.415426387,1
0.438001945,1
0.561212755,1
0.650137007,1
0.652225313,1
0.712394606,1
0.498924703,1
0.472857265,1
0.21418543,1
0.821748534,1
0.54792523,1
0.467671539,1
0.316829128,1
0.954011995,1
0.451410698,1
0.16456713,1
0.360854909,1
0.534451698,1
0.601085357,1
0.494492891,1
0.470430379,1
0.169158073,1
0.363323471,1
0.355632994,1
0.50135942,1
